NO_OF_SAMPLES	24000
FREQUENCY	1200
TIME_STAMP	2020-01-28, 14:27:43.885	5208.83582520
FIRST_SAMPLE	1
DESCRIPTION	Force data in local (force plate) coordinates
DATA_INCLUDED	Force
FORCE_PLATE_TYPE	Amti Gen 5
FORCE_PLATE_MODEL	Unknown
FORCE_PLATE_NAME	Amti Optima BMS400600HF-2K 11053M
FORCE_PLATE_CORNER_POSX_POSY_X	353.011101
FORCE_PLATE_CORNER_POSX_POSY_Y	1295.030594
FORCE_PLATE_CORNER_POSX_POSY_Z	-2.601500
FORCE_PLATE_CORNER_NEGX_POSY_X	747.085989
FORCE_PLATE_CORNER_NEGX_POSY_Y	1294.596434
FORCE_PLATE_CORNER_NEGX_POSY_Z	-2.692300
FORCE_PLATE_CORNER_NEGX_NEGY_X	746.431708
FORCE_PLATE_CORNER_NEGX_NEGY_Y	700.785577
FORCE_PLATE_CORNER_NEGX_NEGY_Z	-2.136100
FORCE_PLATE_CORNER_POSX_NEGY_X	352.357000
FORCE_PLATE_CORNER_POSX_NEGY_Y	701.219738
FORCE_PLATE_CORNER_POSX_NEGY_Z	-2.045300
FORCE_PLATE_OFFSET_X	0.000000
FORCE_PLATE_OFFSET_Y	0.000000
FORCE_PLATE_OFFSET_Z	0.000000
FORCE_PLATE_LENGTH	599.948000
FORCE_PLATE_WIDTH	400.050000
SAMPLE	TIME	Force_X	Force_Y	Force_Z	Moment_X	Moment_Y	Moment_Z	COP_X	COP_Y	COP_Z
1	0.00000	-3.680542	-3.933594	-14.081055	-2.297607	-2.228638	-1.524536	-158.272072	163.170123	0.000000	
2	0.00083	-3.145996	-4.207520	-13.359375	-2.419800	-2.279053	-1.561829	-170.595760	181.131213	0.000000	
3	0.00167	-3.235352	-4.116943	-12.996094	-2.555542	-2.037598	-1.506104	-156.785392	196.639240	0.000000	
4	0.00250	-3.326172	-4.566406	-14.443359	-2.539917	-1.899841	-1.710754	-131.537356	175.853617	0.000000	
5	0.00333	-2.877197	-4.119385	-13.000000	-2.511108	-2.024414	-1.580627	-155.724159	193.162184	0.000000	
6	0.00417	-3.059082	-4.568604	-12.994629	-2.583130	-2.065918	-1.543335	-158.982452	198.784429	0.000000	
7	0.00500	-3.594360	-4.294678	-12.990723	-2.460693	-2.225952	-1.524719	-171.349370	189.419282	0.000000	
8	0.00583	-3.329712	-4.836914	-12.626953	-2.484375	-2.145996	-1.543396	-169.953596	196.751740	0.000000	
9	0.00667	-2.877930	-4.209473	-12.999512	-2.507813	-2.024292	-1.543335	-155.720618	192.915900	0.000000	
10	0.00750	-2.790649	-4.570313	-12.997070	-2.538818	-2.161133	-1.487427	-166.278458	195.337741	0.000000	
11	0.00833	-3.683716	-4.473877	-14.439941	-2.410767	-2.193359	-1.617554	-151.895310	166.951273	0.000000	
12	0.00917	-3.323242	-3.936157	-13.359375	-2.429810	-2.250854	-1.468750	-168.485015	181.880482	0.000000	
